protein1,protein2,pred
PF3D7_1117100,PF3D7_0810800,0.53104667161909
PF3D7_1117100,PF3D7_1136500,0.528885086422401
PF3D7_1117100,PF3D7_0606900,0.427627637217772
PF3D7_1117100,PF3D7_1118200,0.456726991721485
PF3D7_1117100,PF3D7_1414000,0.338097122744745
PF3D7_1117100,PF3D7_1306400,0.265986990867354
PF3D7_0810800,PF3D7_1136500,0.702786305403002
PF3D7_0810800,PF3D7_1118200,0.487416100316829
PF3D7_0810800,PF3D7_1414000,0.373019787564965
PF3D7_1136500,PF3D7_1414000,0.358083136939955
PF3D7_0606900,PF3D7_1118200,0.510771332280715
PF3D7_0606900,PF3D7_1414000,0.294138952862112
PF3D7_1118200,PF3D7_1306400,0.233363697679695
PF3D7_1142600,PF3D7_0415900,0.954006583900318
PF3D7_1142600,PF3D7_1004000,0.801619603271944
PF3D7_1142600,PF3D7_0507100,0.8949775376266
PF3D7_1142600,PF3D7_1124900,0.900896878609816
PF3D7_1142600,PF3D7_1323100,0.818965092656071
PF3D7_1142600,PF3D7_1424400,0.830187352224385
PF3D7_1142600,PF3D7_0618300,0.669592623056316
PF3D7_1142600,PF3D7_1414300,0.725450203076692
PF3D7_1142600,PF3D7_0814000,0.769196226748906
PF3D7_1142600,PF3D7_1431700,0.713076636913319
PF3D7_1142600,PF3D7_1342000,0.714857542764809
PF3D7_1142600,PF3D7_1351400,0.686640293899953
PF3D7_1142600,PF3D7_0307200,0.675072547704777
PF3D7_1142600,PF3D7_0519400,0.672345278533123
PF3D7_1142600,PF3D7_0710600,0.482723674492991
PF3D7_1142600,PF3D7_1460700,0.657218905672643
PF3D7_1142600,PF3D7_1323400,0.647774863679212
PF3D7_1142600,PF3D7_1144000,0.625019941302029
PF3D7_1142600,PF3D7_1461300,0.588861162209326
PF3D7_1142600,PF3D7_1105400,0.609032279190149
PF3D7_1142600,PF3D7_1302800,0.579775199580452
PF3D7_1142600,PF3D7_1331800,0.480311636760176
PF3D7_1142600,PF3D7_0517000,0.511819771609823
PF3D7_1142600,PF3D7_1408600,0.416446047572263
PF3D7_1142600,PF3D7_0721600,0.492606486418944
PF3D7_1142600,PF3D7_0520000,0.485727914961764
PF3D7_1142600,PF3D7_1421200,0.485629762119838
PF3D7_1142600,PF3D7_0322900,0.461100049891148
PF3D7_1142600,PF3D7_0422400,0.456960489328814
PF3D7_1142600,PF3D7_1027800,0.444218287273223
PF3D7_1142600,PF3D7_1019400,0.418533746584506
PF3D7_1142600,PF3D7_1358800,0.414114725315736
PF3D7_1142600,PF3D7_1338200,0.372234810325429
PF3D7_1142600,PF3D7_1441200,0.347178472019713
PF3D7_1142600,PF3D7_0614500,0.210599605567651
PF3D7_1142600,PF3D7_1426000,0.266258443368786
PF3D7_1142600,PF3D7_0217800,0.260475134782667
PF3D7_1142600,PF3D7_1130100,0.844770840179798
PF3D7_1142600,PF3D7_1130200,0.306370267085987
PF3D7_1142600,PF3D7_1341200,0.291804130787283
PF3D7_1142600,PF3D7_1447000,0.34814720665254
PF3D7_1142600,PF3D7_1341300,0.220177807689641
PF3D7_1142600,PF3D7_0516900,0.222271938826792
PF3D7_1142600,PF3D7_1424100,0.207459296723428
PF3D7_0415900,PF3D7_1004000,0.930461575376439
PF3D7_0415900,PF3D7_0507100,0.91401894910423
PF3D7_0415900,PF3D7_1124900,0.820584615010373
PF3D7_0415900,PF3D7_1323100,0.851340137913955
PF3D7_0415900,PF3D7_1424400,0.822580287269928
PF3D7_0415900,PF3D7_0618300,0.805802774638614
PF3D7_0415900,PF3D7_1414300,0.798394029728163
PF3D7_0415900,PF3D7_0814000,0.780870412164845
PF3D7_0415900,PF3D7_1431700,0.773560298057593
PF3D7_0415900,PF3D7_1342000,0.402552531231451
PF3D7_0415900,PF3D7_1351400,0.714536575143736
PF3D7_0415900,PF3D7_0307200,0.710767493914942
PF3D7_0415900,PF3D7_0519400,0.634498485575756
PF3D7_0415900,PF3D7_0710600,0.65840690530621
PF3D7_0415900,PF3D7_1460700,0.509803011991771
PF3D7_0415900,PF3D7_1323400,0.628692500757093
PF3D7_0415900,PF3D7_1144000,0.601256693131573
PF3D7_0415900,PF3D7_1461300,0.61067903845916
PF3D7_0415900,PF3D7_1105400,0.397076399944672
PF3D7_0415900,PF3D7_1331800,0.518336378867757
PF3D7_0415900,PF3D7_0517000,0.395678435082998
PF3D7_0415900,PF3D7_1408600,0.506271228882813
PF3D7_0415900,PF3D7_0721600,0.440003762874101
PF3D7_0415900,PF3D7_1109900,0.487508864131416
PF3D7_0415900,PF3D7_1421200,0.435473117594541
PF3D7_0415900,PF3D7_0422400,0.380390682936994
PF3D7_0415900,PF3D7_1027800,0.375739854718294
