protein1,protein2,pred
PF3D7_0307200,PF3D7_1105400,0.900398301645513
PF3D7_0307200,PF3D7_0517000,0.651501296178499
PF3D7_0307200,PF3D7_1302800,0.75897469481404
PF3D7_0307200,PF3D7_0813900,0.650611517278718
PF3D7_0307200,PF3D7_1341200,0.959967519972603
PF3D7_0307200,PF3D7_0719700,0.959571816505476
PF3D7_0307200,PF3D7_0312800,0.780700048534329
PF3D7_0307200,PF3D7_0516900,0.697471278511713
PF3D7_0307200,PF3D7_1003500,0.657050512580601
PF3D7_0307200,PF3D7_1358800,0.932883155662423
PF3D7_0307200,PF3D7_1426000,0.932627251514894
PF3D7_0307200,PF3D7_0422400,0.58827284919788
PF3D7_0307200,PF3D7_0814000,0.92281559209122
PF3D7_0307200,PF3D7_1126200,0.751823117167572
PF3D7_0307200,PF3D7_1424100,0.506301307244553
PF3D7_0307200,PF3D7_1331800,0.774392967268381
PF3D7_0821700,PF3D7_0503800,0.997009264767071
PF3D7_0821700,PF3D7_0507100,0.991962826346818
PF3D7_0821700,PF3D7_1421200,0.9759504483767
PF3D7_0821700,PF3D7_1004000,0.992701536414541
PF3D7_0821700,PF3D7_1460700,0.984998254129601
PF3D7_0821700,PF3D7_1323400,0.979767088929043
PF3D7_0821700,PF3D7_0520000,0.979779819264613
PF3D7_0821700,PF3D7_1142600,1.00043835794263
PF3D7_0821700,PF3D7_0618300,1.00851799550519
PF3D7_0821700,PF3D7_1027800,1.01016129741111
PF3D7_0821700,PF3D7_1342000,0.951558693584622
PF3D7_0821700,PF3D7_1323100,1.02417306204405
PF3D7_0821700,PF3D7_1341300,1.02587350643434
PF3D7_0821700,PF3D7_0322900,0.992896474304091
PF3D7_0821700,PF3D7_1414300,1.01916235778569
PF3D7_0821700,PF3D7_1447000,0.992953246787129
PF3D7_0821700,PF3D7_0415900,0.979322431151656
PF3D7_0821700,PF3D7_1124900,0.978355501214018
PF3D7_0821700,PF3D7_1309100,0.987817158288575
PF3D7_0821700,PF3D7_1431700,1.00372077808563
PF3D7_0821700,PF3D7_0306900,1.00771529030723
PF3D7_0821700,PF3D7_1424400,0.98279926086327
PF3D7_0821700,PF3D7_1130100,0.970413669326096
PF3D7_0821700,PF3D7_1465900,0.953355313541343
PF3D7_0821700,PF3D7_0710600,0.98225661562633
PF3D7_0821700,PF3D7_0614500,1.00857879871498
PF3D7_0821700,PF3D7_1105400,1.00208693577362
PF3D7_0821700,PF3D7_0517000,0.957416730647691
PF3D7_0821700,PF3D7_1302800,0.984296559995336
PF3D7_0821700,PF3D7_0813900,0.969664298785727
PF3D7_0821700,PF3D7_1341200,0.985435882923094
PF3D7_0821700,PF3D7_0719700,0.966151763181683
PF3D7_0821700,PF3D7_0312800,0.798519422154935
PF3D7_0821700,PF3D7_0516900,0.941966509084187
PF3D7_0821700,PF3D7_1003500,0.940278378115206
PF3D7_0821700,PF3D7_1358800,0.980323970512129
PF3D7_0821700,PF3D7_1426000,0.901451340259806
PF3D7_0821700,PF3D7_0422400,0.980662897378176
PF3D7_0821700,PF3D7_0814000,1.01235921361413
PF3D7_0821700,PF3D7_1126200,0.814857223072885
PF3D7_0821700,PF3D7_1424100,0.802751503680876
PF3D7_0821700,PF3D7_1331800,0.975578617764729
PF3D7_0821700,PF3D7_0706400,0.969170252142721
PF3D7_0503800,PF3D7_0507100,0.553150915437436
PF3D7_0503800,PF3D7_1421200,0.554609414899047
PF3D7_0503800,PF3D7_1004000,0.616229595345167
PF3D7_0503800,PF3D7_1460700,0.658259440888817
PF3D7_0503800,PF3D7_1323400,0.708028833245193
PF3D7_0503800,PF3D7_0520000,0.513691365430847
PF3D7_0503800,PF3D7_1142600,0.479931910421847
PF3D7_0503800,PF3D7_0618300,0.579342701938951
PF3D7_0503800,PF3D7_1027800,0.651669372904022
PF3D7_0503800,PF3D7_1342000,0.650240733153446
PF3D7_0503800,PF3D7_1323100,0.889083463495271
PF3D7_0503800,PF3D7_1341300,0.97023133691877
PF3D7_0503800,PF3D7_0322900,0.569978252470411
PF3D7_0503800,PF3D7_1414300,1.01252344699763
PF3D7_0503800,PF3D7_1447000,0.684941632700601
PF3D7_0503800,PF3D7_1124900,0.651781872164544
PF3D7_0503800,PF3D7_1309100,0.711879558525165
PF3D7_0503800,PF3D7_1431700,0.802729716720158
PF3D7_0503800,PF3D7_0306900,1.03310847142148
